"('SuperBoxSelect',)","('https://modx.com/extras/package/superboxselect?version=61d867fc5be79e4b981528e2',)",Advanced Listbox/Resource List template variable
"('shortUrl',)","('https://modx.com/extras/package/shorturl?version=61d56c0f776ce524e4053773',)",Create Short URLs for redirect.
"('PassChecker',)","('https://modx.com/extras/package/passchecker?version=61b10ec555e15010e83c9a22',)",Checking compromised passwords against HIBP Passwords
"('Mailchimp for FormIt',)","('https://modx.com/extras/package/mailchimpforformit?version=61d3f69f172f89638e658b72',)",Package for subscribing users in Mailchimp lists using FormIt.
"('emo',)","('https://modx.com/extras/package/emo?version=61d395aac3b2e368540b8402',)",E-Mail Obfuscation with Javascript
"('CrossContextsSettings',)","('https://modx.com/extras/package/crosscontextssettings?version=61d38723b4ebf14be36c0982',)",Manage the settings of different contexts in one place
"('AjaxUpload',)","('https://modx.com/extras/package/ajaxupload2?version=61d1851a629e7a4b88537452',)",Upload button for uploading multiple files with progress-bar
"('LangRouter',)","('https://modx.com/extras/package/langrouter?version=61ce3926b30dc11a470660e2',)",Language context router for use with Babel
